,cluster,info
0,0,A0A0P9I6C6|Thermosome_subunit_alpha|OS=Candidatus_Bathyarchaeota_archaeon_BA1
1,0,A0A0N8PWX4|Thermosome_subunit_alpha|OS=Candidatus_Bathyarchaeota_archaeon_BA1
2,0,A0B785|Thermosome_subunit|OS=Methanothrix_thermoacetophila_(strain_DSM_6194_/_JCM_14653_/_NBRC_101360_/_PT)_(Methanosaeta_thermophila)
3,0,"A0A075WFU4|Thermosome,_various_subunit,_archaeal|OS=Archaeoglobus_fulgidus_DSM_8774"
4,0,A0A133UV00|Thermosome_subunit|OS=candidate_division_MSBL1_archaeon_SCGC-AAA259I09
5,0,G0EED3|Thermosome|OS=Pyrolobus_fumarii_(strain_DSM_11204_/_1A)
6,0,A0A0F7FIP0|Thermosome_subunit|OS=Thermofilum_uzonense
7,0,A0A0N8PWU6|Thermosome_subunit_alpha|OS=Candidatus_Bathyarchaeota_archaeon_BA1
8,0,A3DP00|Thermosome_subunit|OS=Staphylothermus_marinus_(strain_ATCC_43588_/_DSM_3639_/_JCM_9404_/_F1)
9,0,F2KMW5|Thermosome|OS=Archaeoglobus_veneficus_(strain_DSM_11195_/_SNP6)
10,0,D7D938|Thermosome|OS=Staphylothermus_hellenicus_(strain_DSM_12710_/_JCM_10830_/_BK20S6-10-b1_/_P8)
11,0,R9SK53|Thermosome_subunit|OS=Methanobrevibacter_sp._AbM4
12,0,I3TCI2|Thermosome_subunit_alpha|OS=Thermogladius_calderae_(strain_DSM_22663_/_VKM_B-2946_/_1633)
13,0,A0A0A7UYG9|Thermosome_subunit|OS=Candidatus_Nitrosopelagicus_brevis
14,0,A0A0L0G4B3|T-complex_protein_1_subunit_eta|OS=Sphaeroforma_arctica_JP610
15,0,I0A243|Thermosome|OS=Fervidicoccus_fontis_(strain_DSM_19380_/_JCM_18336_/_VKM_B-2539_/_Kam940)
16,0,B1L720|Chaperonin_GroEL_(HSP60_family)|OS=Korarchaeum_cryptofilum_(strain_OPF8)
17,0,B1Y9M0|Thermosome|OS=Pyrobaculum_neutrophilum_(strain_DSM_2338_/_JCM_9278_/_V24Sta)_(Thermoproteus_neutrophilus)
18,0,I3XSU6|Thermosome_subunit|OS=Desulfurococcus_amylolyticus_DSM_16532
19,0,V6AQR8|Thermosome_subunit|OS=Candidatus_Nitrosotenuis_uzonensis
20,0,E8RA09|Thermosome_subunit|OS=Desulfurococcus_mucosus_(strain_ATCC_35584_/_DSM_2162_/_JCM_9187_/_O7/1)
21,0,O59662|Thermosome_subunit|OS=Pyrodictium_occultum
22,0,D5TZZ7|Thermosome_subunit|OS=Thermosphaera_aggregans_(strain_DSM_11486_/_M11TL)
23,0,A0A0P0N515|Thermosome_alpha_subunit|OS=Pyrodictium_delaneyi
24,0,A4WLI8|Thermosome_subunit|OS=Pyrobaculum_arsenaticum_(strain_DSM_13514_/_JCM_11321)
25,0,A0A0K1E3Z6|Thermosome_subunit|OS=Pyrobaculum_sp._WP30
26,0,A0A133VDM4|Thermosome_subunit|OS=candidate_division_MSBL1_archaeon_SCGC-AAA261O19
27,0,A0A133V0S8|Thermosome_subunit|OS=candidate_division_MSBL1_archaeon_SCGC-AAA261C02
28,0,B8D5H8|Thermosome_subunit_alpha|OS=Desulfurococcus_amylolyticus_(strain_DSM_18924_/_JCM_16383_/_VKM_B-2413_/_1221n)_(Desulfurococcus_kamchatkensis)
29,0,Q8ZTF8|Thermosome_(Chaperonin)_beta_subunit|OS=Pyrobaculum_aerophilum_(strain_ATCC_51768_/_IM2_/_DSM_7523_/_JCM_9630_/_NBRC_100827)
30,0,A3MX21|Thermosome_subunit|OS=Pyrobaculum_calidifontis_(strain_JCM_11548_/_VA1)
31,0,A2BLA5|Thermosome_alpha_subunit|OS=Hyperthermus_butylicus_(strain_DSM_5456_/_JCM_9403_/_PLM1-5)
32,0,F9CYQ1|Thermosome|OS=Nitrosarchaeum_koreense_MY1
33,0,L8GYS4|T-complex_protein_1_subunit_gamma|OS=Acanthamoeba_castellanii_str._Neff
34,0,A0A0D3CDD4|Uncharacterized_protein|OS=Brassica_oleracea_var._oleracea
35,0,E1QR15|Thermosome|OS=Vulcanisaeta_distributa_(strain_DSM_14429_/_JCM_11212_/_NBRC_100878_/_IC-017)
36,0,A0A0L0FJV5|T-complex_protein_1_subunit_gamma|OS=Sphaeroforma_arctica_JP610
37,0,"S2ELU6|Thermosome,_subunit|OS=Candidatus_Nitrosarchaeum_limnium_BG20"
38,0,F3KLF6|Thermosome|OS=Candidatus_Nitrosarchaeum_limnium_SFB1
39,0,L0AD37|Thermosome_subunit|OS=Caldisphaera_lagunensis_(strain_DSM_15908_/_JCM_11604_/_IC-154)
40,0,W7TKH6|T-complex_protein_1_subunit_epsilon|OS=Nannochloropsis_gaditana
41,0,F0Y8P8|Uncharacterized_protein|OS=Aureococcus_anophagefferens_(Harmful_bloom_alga)
42,0,A0A0D5C0S4|Thermosome_subunit_beta|OS=Nitrosopumilus_adriaticus
43,0,G7VDH4|Thermosome|OS=Pyrobaculum_ferrireducens
44,0,L1I8P8|T-complex_protein_1_subunit_eta|OS=Guillardia_theta_(strain_CCMP2712)_(Cryptophyte)
45,0,W7TWK9|T-complex_protein_1_subunit_gamma|OS=Nannochloropsis_gaditana
46,0,A0A117SRP6|Thermosome_subunit|OS=Caldivirga_sp._MG_3
47,0,D5U351|Thermosome_subunit|OS=Thermosphaera_aggregans_(strain_DSM_11486_/_M11TL)
48,0,A0A087RLF9|Thermosome_subunit_protein|OS=Marine_Group_I_thaumarchaeote_SCGC_AAA799-O18
49,0,A0A0E3NTN5|Heat_shock_protein_60_family_chaperone_GroEL|OS=Methanosarcina_sp._MTP4
50,0,L8GWE7|T-complex_protein_1_subunit_eta|OS=Acanthamoeba_castellanii_str._Neff
51,0,"L1J7M9|Cytosolic_chaperonin_protein,_epsilon_subunit|OS=Guillardia_theta_(strain_CCMP2712)_(Cryptophyte)"
52,0,A0A087RZJ7|Thermosome_subunit_alpha_protein|OS=Marine_Group_I_thaumarchaeote_SCGC_AAA799-D07
53,0,"I7MF70|TCP-1_(CTT_or_eukaryotic_type_II)_chaperonin_family,_epsilon_subunit|OS=Tetrahymena_thermophila_(strain_SB210)"
54,0,A0A0G4IP95|T-complex_protein_1_subunit_eta|OS=Plasmodiophora_brassicae_(Clubroot_disease)
55,0,A0A078B868|T-complex_protein_1_subunit_eta|OS=Stylonychia_lemnae_(Ciliate)
56,0,A0E5W4|T-complex_protein_1_subunit_eta|OS=Paramecium_tetraurelia
57,0,A0A0L0FME1|T-complex_protein_1_subunit_epsilon|OS=Sphaeroforma_arctica_JP610
58,0,Q6BFS8|T-complex_protein_1_subunit_eta|OS=Paramecium_tetraurelia
59,0,G4ZEW0|T-complex_protein_1_subunit_gamma|OS=Phytophthora_sojae_(strain_P6497)_(Soybean_stem_and_root_rot_agent)_(Phytophthora_megasperma_f._sp._glycines)
60,0,A0A151ZEU7|T-complex_protein_1_subunit_eta|OS=Tieghemostelium_lacteum
61,0,W2R8J3|T-complex_protein_1_subunit_gamma|OS=Phytophthora_parasitica_(strain_INRA-310)
62,0,A0A081A5W6|T-complex_protein_1_subunit_gamma|OS=Phytophthora_parasitica_P1976
63,0,V9F287|T-complex_protein_1_subunit_gamma|OS=Phytophthora_parasitica_P1569
64,0,W2WYP3|T-complex_protein_1_subunit_gamma|OS=Phytophthora_parasitica_CJ01A1
65,0,A0A0W8DZ79|T-complex_protein_1_subunit_gamma|OS=Phytophthora_nicotianae_(Buckeye_rot_agent)
66,0,W2Z8B6|T-complex_protein_1_subunit_gamma|OS=Phytophthora_parasitica_P10297
67,0,F4G236|Thermosome|OS=Metallosphaera_cuprina_(strain_Ar-4)
68,0,A0A031LLN4|Thermosome_subunit|OS=Candidatus_Acidianus_copahuensis
69,0,D0NV29|T-complex_protein_1_subunit_gamma|OS=Phytophthora_infestans_(strain_T30-4)_(Potato_late_blight_fungus)
