,cluster,info
0,0,gi|17532603|ref|NP_495750.1| Protein CCT-4 [Caenorhabditis elegans]
1,0,gi|15229595|ref|NP_188447.1| TCP-1/cpn60 chaperonin family protein [Arabidopsis thaliana]
2,0,gi|115445891|ref|NP_001046725.1| Os02g0332200 [Oryza sativa Japonica Group]
3,0,gi|115482922|ref|NP_001065054.1| Os10g0514600 [Oryza sativa Japonica Group]
4,0,gi|24583944|ref|NP_609579.1| CG5525 [Drosophila melanogaster]
5,0,gi|58379953|ref|XP_310191.2| AGAP009505-PA [Anopheles gambiae str. PEST]
0,1,gi|45201410|ref|NP_986980.1| AGR314Wp [Ashbya gossypii ATCC 10895]
1,1,gi|6322446|ref|NP_012520.1| Cct3p [Saccharomyces cerevisiae S288c]
2,1,gi|50312115|ref|XP_456089.1| hypothetical protein [Kluyveromyces lactis NRRL Y-1140]
3,1,gi|19112602|ref|NP_595810.1| chaperonin-containing T-complex gamma subunit Cct3 [Schizosaccharomyces pombe 972h-]
4,1,gi|389623377|ref|XP_003709342.1| T-complex protein 1 subunit gamma [Magnaporthe oryzae 70-15]
5,1,gi|164428224|ref|XP_956627.2| T-complex protein 1 subunit gamma [Neurospora crassa OR74A]
0,2,gi|19114189|ref|NP_593277.1| chaperonin-containing T-complex epsilon subunit Cct5 [Schizosaccharomyces pombe 972h-]
1,2,gi|389623313|ref|XP_003709310.1| T-complex protein 1 subunit epsilon [Magnaporthe oryzae 70-15]
2,2,gi|164426665|ref|XP_956565.2| T-complex protein 1 subunit epsilon [Neurospora crassa OR74A]
3,2,"gi|25144674|ref|NP_741117.1| Protein CCT-5, isoform a [Caenorhabditis elegans]"
4,2,gi|15221770|ref|NP_173859.1| T-complex protein 1 subunit epsilon [Arabidopsis thaliana]
5,2,gi|115468554|ref|NP_001057876.1| Os06g0562600 [Oryza sativa Japonica Group]
6,2,"gi|17647245|ref|NP_523707.1| T-complex chaperonin 5, isoform A [Drosophila melanogaster]"
7,2,gi|158296884|ref|XP_317219.3| AGAP008249-PA [Anopheles gambiae str. PEST]
0,3,gi|45191016|ref|NP_985270.1| AER415Wp [Ashbya gossypii ATCC 10895]
1,3,gi|6322049|ref|NP_012124.1| Cct2p [Saccharomyces cerevisiae S288c]
2,3,gi|50305503|ref|XP_452711.1| hypothetical protein [Kluyveromyces lactis NRRL Y-1140]
3,3,gi|19113929|ref|NP_593017.1| chaperonin-containing T-complex beta subunit Cct2 [Schizosaccharomyces pombe 972h-]
4,3,gi|389622127|ref|XP_003708717.1| T-complex protein 1 subunit beta [Magnaporthe oryzae 70-15]
5,3,gi|85092747|ref|XP_959526.1| T-complex protein 1 subunit beta [Neurospora crassa OR74A]
6,3,gi|15242093|ref|NP_197589.1| TCP-1/cpn60 chaperonin family protein [Arabidopsis thaliana]
0,4,gi|45198585|ref|NP_985614.1| AFR067Wp [Ashbya gossypii ATCC 10895]
1,4,gi|6322350|ref|NP_012424.1| Cct7p [Saccharomyces cerevisiae S288c]
2,4,gi|50312013|ref|XP_456038.1| hypothetical protein [Kluyveromyces lactis NRRL Y-1140]
3,4,gi|19113147|ref|NP_596355.1| chaperonin-containing T-complex eta subunit Cct7 [Schizosaccharomyces pombe 972h-]
4,4,gi|389638034|ref|XP_003716650.1| T-complex protein 1 subunit eta [Magnaporthe oryzae 70-15]
5,4,gi|85091515|ref|XP_958939.1| T-complex protein 1 subunit eta [Neurospora crassa OR74A]
0,5,gi|226693361|ref|NP_033969.2| T-complex protein 1 subunit zeta-2
1,5,gi|62079183|ref|NP_001014250.1| T-complex protein 1 subunit zeta-2
2,5,gi|58331173|ref|NP_006575.2| T-complex protein 1 subunit zeta-2 isoform 1
3,5,gi|350539459|ref|NP_001233572.1| T-complex protein 1 subunit zeta-2
4,5,gi|73966838|ref|XP_548266.2| PREDICTED: T-complex protein 1 subunit zeta-2 isoformX1 [Canis lupus familiaris]
5,5,gi|77736227|ref|NP_001029814.1| T-complex protein 1 subunit zeta-2
6,5,gi|41152046|ref|NP_958447.1| T-complex protein 1 subunit zeta
7,5,"gi|47575728|ref|NP_001001208.1| chaperonin containing TCP1, subunit 6A (zeta 1)"
8,5,gi|57525300|ref|NP_001006216.1| T-complex protein 1 subunit zeta
9,5,gi|545500762|ref|XP_005621066.1| PREDICTED: T-complex protein 1 subunit zeta [Canis lupus familiaris]
10,5,gi|297288261|ref|XP_001090105.2| PREDICTED: t-complex protein 1 subunit zeta-like isoform 2 [Macaca mulatta]
11,5,gi|4502643|ref|NP_001753.1| T-complex protein 1 subunit zeta isoform a
12,5,gi|114613457|ref|XP_001159391.1| PREDICTED: T-complex protein 1 subunit zeta isoform 9 [Pan troglodytes]
13,5,gi|77736031|ref|NP_001029714.1| T-complex protein 1 subunit zeta
14,5,gi|6753324|ref|NP_033968.1| T-complex protein 1 subunit zeta
15,5,gi|76253725|ref|NP_001028856.1| T-complex protein 1 subunit zeta
0,6,gi|19113806|ref|NP_592894.1| mitochondrial heat shock protein Hsp60/Mcp60 [Schizosaccharomyces pombe 972h-]
1,6,gi|389638386|ref|XP_003716826.1| heat shock protein 60 [Magnaporthe oryzae 70-15]
2,6,"gi|164428039|ref|XP_956500.2| heat shock protein 60, mitochondrial precursor [Neurospora crassa OR74A]"
3,6,gi|6323288|ref|NP_013360.1| chaperone ATPase HSP60 [Saccharomyces cerevisiae S288c]
