Target Name,Target Accession,Target Length,Query Name,Query Accession,Query Length,E-value,Score,Bias,Domain Index,Domain Count,Cond. E-value,Domain Ind. E-value,Domain Bit-score,Domain Bias,Query Ali. Start,Query Ali. End,Target Ali. Start,Target Ali. End,Target Env. Start,Target Env. End,Acc,Description,Mapped PDB(s),Number of Identical Sequences,targetCoverage
AOA65_0621,AOA65_0621,551,Query,-,528,1.1e-209,710.5,17.1,1,1,5e-214,1.2e-209,710.2910767,17.14,4,524,11,532,8,536,0.99,Thermosome subunit alpha,,0,0.988636363636364
AOA65_0512,AOA65_0512,569,Query,-,528,3.3e-208,705.6,16.4,1,1,1.6e-212,3.7e-208,705.3685303,16.4,4,524,29,550,26,554,0.99,Thermosome subunit alpha,,0,0.988636363636364
CHITON_0093,CHITON_0093,547,Query,-,528,1.1e-207,703.8,27.8,1,1,5.4e-212,1.3e-207,703./Users/ptdolan/Documents/GitHub/BASR/JackHMMER.txt5820923,27.81,3,526,7,531,5,533,0.99,Heat shock protein 60 family chaperone GroEL / Thermosome subunit,,0,0.994318181818182
PF1974,PF1974,549,Query,-,528,1.4e-207,703.5,25,1,1,7.2e-212,1.7e-207,703.1867065,25.02,3,526,7,531,5,533,0.99,thermosome, single subunit,,0,0.994318181818182
PFC_08710,PFC_08710,549,Query,-,528,1.4e-207,703.5,25,1,1,7.2e-212,1.7e-207,703.1867065,25.02,3,526,7,531,5,533,0.99,thermosome, single subunit,,0,0.994318181818182
Metin_0803,Metin_0803,540,Query,-,528,2.7e-207,702.5,26.8,1,1,1.3e-211,3.1e-207,702.3303223,26.79,2,526,4,528,3,530,0.99,thermosome,,1,0.994318181818182
Py04_0075,Py04_0075,547,Query,-,528,3.9e-207,702,27.7,1,1,1.9e-211,4.6e-207,701.7630005,27.65,3,526,7,531,5,533,0.99,putative thermosome, subunit alpha,,0,0.994318181818182
ADU37_CDS18590,ADU37_CDS18590,545,Query,-,528,7.7e-207,701,27.2,1,1,3.8e-211,9e-207,700.8045654,27.25,3,526,7,531,5,533,0.99,Heat shock protein 60 family chaperone GroEL / Thermosome subunit,,0,0.994318181818182
TQ32_06980,TQ32_06980,547,Query,-,528,9.1e-207,700.8,28.3,1,1,4.5e-211,1.1e-206,700.5638428,28.25,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
MJ_0999,MJ_0999,542,Query,-,528,1.5e-206,700.1,28.5,1,1,7.1e-211,1.7e-206,699.9075928,28.54,3,526,6,529,4,531,0.99,thermosome (ths),,0,0.992424242424242
MK1006,MK1006,545,Query,-,528,1.5e-206,700.1,23.8,1,1,8.1e-211,1.9e-206,699.7019653,23.84,4,525,10,532,8,535,0.98,HSP60 family chaperonin,,0,0.990530303030303
PNA2_0538,PNA2_0538,550,Query,-,528,1.7e-206,699.9,29.2,1,1,8.2e-211,2e-206,699.6970825,29.21,3,526,7,531,5,533,0.99,thermosome, subunit alpha,,0,0.994318181818182
BAA29085,BAA29085,549,Query,-,528,1.8e-206,699.8,29.5,1,1,8.9e-211,2.1e-206,699.5707397,29.48,3,526,7,531,5,533,0.98,549aa long hypothetical thermophilic factor,,0,0.994318181818182
PAB2341,PAB2341,550,Query,-,528,5.5e-206,698.2,28.8,1,1,2.7e-210,6.4e-206,697.9929199,28.79,3,526,7,531,5,533,0.99,thermosome subunit (chaperonin subunit),,0,0.994318181818182
MFS40622_1614,MFS40622_1614,542,Query,-,528,6.5e-206,698,29.1,1,1,3.4e-210,8.1e-206,697.6634521,29.06,3,525,6,528,4,530,0.99,thermosome,,0,0.990530303030303
A0127_03860,A0127_03860,547,Query,-,528,6.7e-206,697.9,28.5,1,1,3.2e-210,7.6e-206,697.7506104,28.5,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
TES1_1999,TES1_1999,545,Query,-,528,1.2e-205,697.1,27.7,1,1,5.7e-210,1.4e-205,696.9031982,27.71,3,526,7,531,5,533,0.99,thermosome subunit alpha,,0,0.994318181818182
TBCH5v1_2448,TBCH5v1_2448,547,Query,-,528,1.2e-205,697.1,29.6,1,1,5.8e-210,1.4e-205,696.8911133,29.64,3,526,7,531,5,533,0.99,Thermosome subunit,,0,0.994318181818182
TERMP_02050,TERMP_02050,547,Query,-,528,1.2e-205,697.1,29.8,1,1,5.9e-210,1.4e-205,696.8632202,29.77,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
TK2303,TK2303,546,Query,-,528,1.6e-205,696.7,26.9,1,1,7.6e-210,1.8e-205,696.4942017,26.94,3,526,7,531,5,533,0.99,chaperonin beta subunit,,0,0.994318181818182
PYCH_17490,PYCH_17490,547,Query,-,528,2.6e-205,696,27.3,1,1,1.2e-209,3e-205,695.7915649,27.32,3,526,7,531,5,533,0.99,thermosome, subunit alpha,,0,0.994318181818182
J422_00786,J422_00786,543,Query,-,528,2.7e-205,695.9,29.5,1,1,1.3e-209,3.2e-205,695.6956787,29.5,4,526,7,529,4,531,0.99,thermosome,,0,0.990530303030303
TEU_00840,TEU_00840,546,Query,-,528,2.7e-205,695.9,27.5,1,1,1.3e-209,3.1e-205,695.7255249,27.53,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
JH146_0958,JH146_0958,542,Query,-,528,2.9e-205,695.8,30.5,1,1,1.4e-209,3.3e-205,695.6436768,30.51,4,525,7,528,4,531,0.99,thermosome,,0,0.988636363636364
Mthe_0769,Mthe_0769,543,Query,-,528,4.3e-205,695.3,23.6,1,1,2.1e-209,5e-205,695.0372314,23.58,4,522,8,524,5,530,0.99,thermosome subunit,,0,0.979166666666667
Metvu_1299,Metvu_1299,542,Query,-,528,4.5e-205,695.2,27.7,1,1,2.2e-209,5.2e-205,694.9957275,27.69,3,526,6,529,4,531,0.99,thermosome,,0,0.992424242424242
PAP_00520,PAP_00520,542,Query,-,528,9.5e-205,694.1,30.1,1,1,4.9e-209,1.2e-204,693.8441162,30.13,3,524,7,529,5,532,0.99,thermosome subunit,,0,0.990530303030303
Metig_0352,Metig_0352,541,Query,-,528,9.8e-205,694.1,27.9,1,1,5.1e-209,1.2e-204,693.7717896,27.94,3,526,6,527,5,529,0.99,thermosome,,0,0.988636363636364
OCC_13011,OCC_13011,544,Query,-,528,1e-204,694,28.8,1,1,4.9e-209,1.2e-204,693.8249512,28.8,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
TSIB_1748,TSIB_1748,546,Query,-,528,1.9e-204,693.1,27.9,1,1,9.1e-209,2.2e-204,692.9423218,27.9,3,526,9,533,7,535,0.99,Thermosome alpha subunit,,0,0.994318181818182
Mevan_0828,Mevan_0828,543,Query,-,528,2.3e-204,692.9,30.8,1,1,1.1e-208,2.7e-204,692.6172485,30.76,7,522,6,520,1,525,0.98,thermosome,,0,0.975378787878788
MMP1515,MMP1515,543,Query,-,528,2.4e-204,692.8,29.8,1,1,1.1e-208,2.7e-204,692.6304932,29.85,6,525,6,524,1,527,0.98,Chaperonin GroEL (thermosome, HSP60 family),,0,0.982954545454545
Mefer_1227,Mefer_1227,542,Query,-,528,2.4e-204,692.8,28.9,1,1,1.2e-208,2.8e-204,692.5861816,28.9,4,526,7,529,4,531,0.99,thermosome,,0,0.990530303030303
MmarC5_0060,MmarC5_0060,545,Query,-,528,3.1e-204,692.5,29.3,1,1,1.4e-208,3.4e-204,692.2984009,29.33,7,523,6,521,1,526,0.98,thermosome subunit,,0,0.977272727272727
MetfoDRAFT_0979,MetfoDRAFT_0979,540,Query,-,528,3.8e-204,692.2,28.1,1,1,2e-208,4.7e-204,691.8491821,28.06,3,522,6,523,4,528,0.99,thermosome,,0,0.981060606060606
GAH_00821,GAH_00821,548,Query,-,528,5.5e-204,691.6,26.5,1,1,2.6e-208,6.3e-204,691.4194946,26.5,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
Mpsy_2247,Mpsy_2247,549,Query,-,528,1.7e-203,690,24.6,1,1,8.5e-208,2e-203,689.7427979,24.61,3,521,8,524,6,529,0.99,thermosome, chaperonin Cpn60/TCP-1,,0,0.979166666666667
CL1_0816,CL1_0816,545,Query,-,528,1.8e-203,689.9,27.3,1,1,9.1e-208,2.2e-203,689.645752,27.3,3,524,7,529,5,532,0.99,chaperonin subunit beta,,0,0.990530303030303
TON_1877,TON_1877,544,Query,-,528,2.2e-203,689.6,28.3,1,1,1.1e-207,2.6e-203,689.4072266,28.27,3,525,7,530,5,533,0.99,chaperonin beta subunit,,0,0.992424242424242
MTH_794,MTH_794,538,Query,-,528,2.4e-203,689.5,26.3,1,1,1.1e-207,2.7e-203,689.3250122,26.28,2,525,5,522,4,525,0.99,chaperonin,,0,0.981060606060606
A7C91_05280,A7C91_05280,544,Query,-,528,2.6e-203,689.4,28.1,1,1,1.3e-207,3.1e-203,689.1348877,28.14,3,525,7,530,5,533,0.99,thermosome subunit,,0,0.992424242424242
TGAM_0159,TGAM_0159,546,Query,-,528,2.8e-203,689.3,26.2,1,1,1.4e-207,3.2e-203,689.0661011,26.18,3,526,7,531,5,533,0.99,Thermosome alpha subunit (Thermosome subunit 1) (Chaperonin alpha subunit) (thsA),,0,0.994318181818182
MmarC6_1157,MmarC6_1157,542,Query,-,528,3.5e-203,689,29.6,1,1,1.6e-207,3.9e-203,688.8088989,29.57,7,523,6,521,1,526,0.98,thermosome,,0,0.977272727272727
X802_04750,X802_04750,546,Query,-,528,6.2e-203,688.1,29.3,1,1,3e-207,7.1e-203,687.9434814,29.32,3,526,7,531,5,533,0.99,thermosome subunit,,0,0.994318181818182
