,cluster,info
0,0,AB377213|NIID_21_2|NA|2003|Mosquito|Japan|NA|Culex_flavivirus
1,0,EF457904|Dak_Ar_D75505|NA|1999|Unknown|Senegal|2_sylvatic|Dengue_virus_2
2,0,FJ410181|DENV_1/US/BID_V2129/1995|NA|1995|Human|USA|1|Dengue_virus_1
3,0,DQ256376|804994|NA|1980|Human|India|5|West_Nile_virus
4,0,FJ744701|DENV_1/VE/BID_V2237/2004|NA|2004|Human|Venezuela|1|Dengue_virus_1
5,0,FM210207|MD1619|NA|2005|Human|Viet_Nam|2_AsianI|Dengue_virus_2
6,0,GQ868628|DENV_3/KH/BID_V2085/2005|NA|2005|Human|Cambodia|3_II|Dengue_virus_3
7,0,GU131835|DENV_1/VE/BID_V3552/2004|NA|2004|Human|Venezuela|1|Dengue_virus_1
8,0,FJ205872|DENV_1/US/BID_V1739/1998|NA|1998|Human|USA|1|Dengue_virus_1
9,0,FJ390374|DENV_1/US/BID_V1734/1995|NA|1995|Human|USA|1|Dengue_virus_1
10,0,EU660413|DENV_2/VN/BID_V1507/2007|NA|2007|Human|Viet_Nam|2_AsianI|Dengue_virus_2
11,0,GU131940|DENV_3/IPC/BID_V4297/2007|NA|2007|Human|Cambodia|3_II|Dengue_virus_3
12,0,FJ882592|DENV_4/VE/BID_V2501/2008|NA|2008|Human|Venezuela|4_II|Dengue_virus_4
13,0,GQ252676|DENV_2/LK/BID_V2421/2003|NA|2003|Human|Sri_Lanka|2_Cosmopolitan|Dengue_virus_2
14,0,FJ744719|DENV_2/TH/BID_V2305/2001|NA|2001|Human|Thailand|2_AsianI|Dengue_virus_2
15,0,EU482459|DENV_3/VN/BID_V1015/2006|NA|2006|Human|Viet_Nam|3_II|Dengue_virus_3
0,1,EU482749|DENV_2/NI/BID_V514/2005|NA|2005|Human|Nicaragua|2_AsianAmerican|Dengue_virus_2
1,1,AY702038|Cuba165/97|NA|1997|Unknown|Cuba|2_AsianAmerican|Dengue_virus_2
2,1,EU569705|DENV_2/US/BID_V1356/1993|NA|1993|Human|USA|2_AsianAmerican|Dengue_virus_2
3,1,EU482586|DENV_2/US/BID_V1183/1990|NA|1990|Human|USA|2_AsianAmerican|Dengue_virus_2
4,1,EU482573|DENV_2/US/BID_V1169/1987|NA|1987|Human|USA|2_AsianAmerican|Dengue_virus_2
5,1,FM210227|MD863|NA|2002|Human|Viet_Nam|2|Dengue_virus_2
6,1,GU131879|DENV_2/BR/BID_V3638/2008|NA|2008|Human|Brazil|2_AsianAmerican|Dengue_virus_2
7,1,EU482557|DENV_2/US/BID_V1048/1999|NA|1999|Human|USA|2_AsianAmerican|Dengue_virus_2
8,1,EU482575|DENV_2/US/BID_V1171/1987|NA|1987|Human|USA|2_AsianAmerican|Dengue_virus_2
9,1,FM210202|DF768|NA|2004|Unknown|Viet_Nam|2|Dengue_virus_2
10,1,FM210213|MD1504|NA|2005|Human|Viet_Nam|2|Dengue_virus_2
0,2,GU131873|DENV_3/BR/BID_V3598/2007|NA|2007|Human|Brazil|3_III|Dengue_virus_3
1,2,EU081206|D3/SG/05K3887DK1/2005|NA|2005|Unknown|Singapore|3|Dengue_virus_3
2,2,GU131855|DENV_3/BR/BID_V3451/2006|NA|2006|Human|Brazil|3_III|Dengue_virus_3
3,2,GU131877|DENV_3/BR/BID_V3609/2007|NA|2007|Human|Brazil|3_III|Dengue_virus_3
4,2,FJ898443|DENV_3/CO/BID_V2984/2003|NA|2003|Human|Colombia|3_III|Dengue_virus_3
5,2,EU529692|DENV_3/US/BID_V1044/2006|NA|2006|Human|USA|3_III|Dengue_virus_3
6,2,FJ547083|DENV_3/US/BID_V2119/2002|NA|2002|Human|USA|3_III|Dengue_virus_3
7,2,EU081182|D3/SG/05K791DK1/2005|NA|2005|Unknown|Singapore|3|Dengue_virus_3
8,2,EU081222|D3/SG/05K4454DK1/2005|NA|2005|Unknown|Singapore|3|Dengue_virus_3
9,2,FJ390373|DENV_3/US/BID_V1732/2002|NA|2002|Human|USA|3_III|Dengue_virus_3
0,3,FJ461332|DENV_1/VN/BID_V1926/2008|NA|2008|Human|Viet_Nam|1_I|Dengue_virus_1
1,3,FJ882566|DENV_1/VN/BID_V2831/2003|NA|2003|Human|Viet_Nam|1_I|Dengue_virus_1
2,3,EU482718|DENV_1/VN/BID_V792/2007|NA|2007|Human|Viet_Nam|1_I|Dengue_virus_1
3,3,GU131805|DENV_1/VN/BID_V4052/2008|NA|2008|Human|Viet_Nam|1_I|Dengue_virus_1
4,3,FJ898422|DENV_1/VN/BID_V2907/2006|NA|2006|Human|Viet_Nam|1_I|Dengue_virus_1
5,3,EU482531|DENV_1/VN/BID_V987/2006|NA|2006|Human|Viet_Nam|1|Dengue_virus_1
6,3,GQ199771|DENV_1/VN/BID_V2687/2006|NA|2006|Human|Viet_Nam|1_I|Dengue_virus_1
7,3,FJ639679|DENV_1/KH/BID_V1993/2003|NA|2003|Human|Cambodia|1_I|Dengue_virus_1
8,3,FJ898411|DENV_1/VN/BID_V2891/2006|NA|2006|Human|Viet_Nam|1_I|Dengue_virus_1
9,3,EU482798|DENV_1/VN/BID_V804/2006|NA|2006|Human|Viet_Nam|1_I|Dengue_virus_1
10,3,EU081255|D1/SG/05K4139DK1/2005|NA|2005|Unknown|Singapore|1_I|Dengue_virus_1
11,3,GU131744|DENV_1/VN/BID_V3964/2008|NA|2008|Human|Viet_Nam|1_I|Dengue_virus_1
12,3,FJ432734|DENV_1/VN/BID_V1792/2007|NA|2007|Human|Viet_Nam|1_I|Dengue_virus_1
