Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
Bo9g163560	Bo9g163560	824	Query	-	528	2.10E-225	762.3	12.6	1	2	2.90E-59	7.00E-55	199.590271	1.23	2	183	48	231	47	250	0.96	Uncharacterized protein (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A0D3EF56]		0
Bo9g163560	Bo9g163560	824	Query	-	528	2.10E-225	762.3	12.6	2	2	6.50E-171	1.60E-166	568.0238647	4.25	2	525	288	821	287	824	0.98	Uncharacterized protein (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A0D3EF56]		0
AOA65_0621	AOA65_0621	551	Query	-	528	1.10E-209	710.5	17.1	1	1	5.00E-214	1.20E-209	710.2910767	17.14	4	524	11	532	8	536	0.99	Thermosome subunit alpha		0
AOA65_0512	AOA65_0512	569	Query	-	528	3.30E-208	705.6	16.4	1	1	1.60E-212	3.70E-208	705.3685303	16.4	4	524	29	550	26	554	0.99	Thermosome subunit alpha		0
CHITON_0093	CHITON_0093	547	Query	-	528	1.10E-207	703.8	27.8	1	1	5.40E-212	1.30E-207	703./Users/ptdolan/Documents/GitHub/BASR/JackHMMER.txt5820923	27.81	3	526	7	531	5	533	0.99	Heat shock protein 60 family chaperone GroEL / Thermosome subunit		0
PF1974	PF1974	549	Query	-	528	1.40E-207	703.5	25	1	1	7.20E-212	1.70E-207	703.1867065	25.02	3	526	7	531	5	533	0.99	"thermosome, single subunit"		0
PFC_08710	PFC_08710	549	Query	-	528	1.40E-207	703.5	25	1	1	7.20E-212	1.70E-207	703.1867065	25.02	3	526	7	531	5	533	0.99	"thermosome, single subunit"		0
Metin_0803	Metin_0803	540	Query	-	528	2.70E-207	702.5	26.8	1	1	1.30E-211	3.10E-207	702.3303223	26.79	2	526	4	528	3	530	0.99	thermosome		1
Py04_0075	Py04_0075	547	Query	-	528	3.90E-207	702	27.7	1	1	1.90E-211	4.60E-207	701.7630005	27.65	3	526	7	531	5	533	0.99	"putative thermosome, subunit alpha"		0
ADU37_CDS18590	ADU37_CDS18590	545	Query	-	528	7.70E-207	701	27.2	1	1	3.80E-211	9.00E-207	700.8045654	27.25	3	526	7	531	5	533	0.99	Heat shock protein 60 family chaperone GroEL / Thermosome subunit		0
TQ32_06980	TQ32_06980	547	Query	-	528	9.10E-207	700.8	28.3	1	1	4.50E-211	1.10E-206	700.5638428	28.25	3	526	7	531	5	533	0.99	thermosome subunit		0
MJ_0999	MJ_0999	542	Query	-	528	1.50E-206	700.1	28.5	1	1	7.10E-211	1.70E-206	699.9075928	28.54	3	526	6	529	4	531	0.99	thermosome (ths)		0
MK1006	MK1006	545	Query	-	528	1.50E-206	700.1	23.8	1	1	8.10E-211	1.90E-206	699.7019653	23.84	4	525	10	532	8	535	0.98	HSP60 family chaperonin		0
PNA2_0538	PNA2_0538	550	Query	-	528	1.70E-206	699.9	29.2	1	1	8.20E-211	2.00E-206	699.6970825	29.21	3	526	7	531	5	533	0.99	"thermosome, subunit alpha"		0
BAA29085	BAA29085	549	Query	-	528	1.80E-206	699.8	29.5	1	1	8.90E-211	2.10E-206	699.5707397	29.48	3	526	7	531	5	533	0.98	549aa long hypothetical thermophilic factor		0
PAB2341	PAB2341	550	Query	-	528	5.50E-206	698.2	28.8	1	1	2.70E-210	6.40E-206	697.9929199	28.79	3	526	7	531	5	533	0.99	thermosome subunit (chaperonin subunit)		0
MFS40622_1614	MFS40622_1614	542	Query	-	528	6.50E-206	698	29.1	1	1	3.40E-210	8.10E-206	697.6634521	29.06	3	525	6	528	4	530	0.99	thermosome		0
A0127_03860	A0127_03860	547	Query	-	528	6.70E-206	697.9	28.5	1	1	3.20E-210	7.60E-206	697.7506104	28.5	3	526	7	531	5	533	0.99	thermosome subunit		0
TES1_1999	TES1_1999	545	Query	-	528	1.20E-205	697.1	27.7	1	1	5.70E-210	1.40E-205	696.9031982	27.71	3	526	7	531	5	533	0.99	thermosome subunit alpha		0
TBCH5v1_2448	TBCH5v1_2448	547	Query	-	528	1.20E-205	697.1	29.6	1	1	5.80E-210	1.40E-205	696.8911133	29.64	3	526	7	531	5	533	0.99	Thermosome subunit		0
TERMP_02050	TERMP_02050	547	Query	-	528	1.20E-205	697.1	29.8	1	1	5.90E-210	1.40E-205	696.8632202	29.77	3	526	7	531	5	533	0.99	thermosome subunit		0
TK2303	TK2303	546	Query	-	528	1.60E-205	696.7	26.9	1	1	7.60E-210	1.80E-205	696.4942017	26.94	3	526	7	531	5	533	0.99	chaperonin beta subunit		0
PYCH_17490	PYCH_17490	547	Query	-	528	2.60E-205	696	27.3	1	1	1.20E-209	3.00E-205	695.7915649	27.32	3	526	7	531	5	533	0.99	"thermosome, subunit alpha"		0
J422_00786	J422_00786	543	Query	-	528	2.70E-205	695.9	29.5	1	1	1.30E-209	3.20E-205	695.6956787	29.5	4	526	7	529	4	531	0.99	thermosome		0
TEU_00840	TEU_00840	546	Query	-	528	2.70E-205	695.9	27.5	1	1	1.30E-209	3.10E-205	695.7255249	27.53	3	526	7	531	5	533	0.99	thermosome subunit		0
JH146_0958	JH146_0958	542	Query	-	528	2.90E-205	695.8	30.5	1	1	1.40E-209	3.30E-205	695.6436768	30.51	4	525	7	528	4	531	0.99	thermosome		0
Mthe_0769	Mthe_0769	543	Query	-	528	4.30E-205	695.3	23.6	1	1	2.10E-209	5.00E-205	695.0372314	23.58	4	522	8	524	5	530	0.99	thermosome subunit		0
Metvu_1299	Metvu_1299	542	Query	-	528	4.50E-205	695.2	27.7	1	1	2.20E-209	5.20E-205	694.9957275	27.69	3	526	6	529	4	531	0.99	thermosome		0
PAP_00520	PAP_00520	542	Query	-	528	9.50E-205	694.1	30.1	1	1	4.90E-209	1.20E-204	693.8441162	30.13	3	524	7	529	5	532	0.99	thermosome subunit		0
Metig_0352	Metig_0352	541	Query	-	528	9.80E-205	694.1	27.9	1	1	5.10E-209	1.20E-204	693.7717896	27.94	3	526	6	527	5	529	0.99	thermosome		0
OCC_13011	OCC_13011	544	Query	-	528	1.00E-204	694	28.8	1	1	4.90E-209	1.20E-204	693.8249512	28.8	3	526	7	531	5	533	0.99	thermosome subunit		0
TSIB_1748	TSIB_1748	546	Query	-	528	1.90E-204	693.1	27.9	1	1	9.10E-209	2.20E-204	692.9423218	27.9	3	526	9	533	7	535	0.99	Thermosome alpha subunit		0
Mevan_0828	Mevan_0828	543	Query	-	528	2.30E-204	692.9	30.8	1	1	1.10E-208	2.70E-204	692.6172485	30.76	7	522	6	520	1	525	0.98	thermosome		0
MMP1515	MMP1515	543	Query	-	528	2.40E-204	692.8	29.8	1	1	1.10E-208	2.70E-204	692.6304932	29.85	6	525	6	524	1	527	0.98	"Chaperonin GroEL (thermosome, HSP60 family)"		0
Mefer_1227	Mefer_1227	542	Query	-	528	2.40E-204	692.8	28.9	1	1	1.20E-208	2.80E-204	692.5861816	28.9	4	526	7	529	4	531	0.99	thermosome		0
MmarC5_0060	MmarC5_0060	545	Query	-	528	3.10E-204	692.5	29.3	1	1	1.40E-208	3.40E-204	692.2984009	29.33	7	523	6	521	1	526	0.98	thermosome subunit		0
MetfoDRAFT_0979	MetfoDRAFT_0979	540	Query	-	528	3.80E-204	692.2	28.1	1	1	2.00E-208	4.70E-204	691.8491821	28.06	3	522	6	523	4	528	0.99	thermosome		0
GAH_00821	GAH_00821	548	Query	-	528	5.50E-204	691.6	26.5	1	1	2.60E-208	6.30E-204	691.4194946	26.5	3	526	7	531	5	533	0.99	thermosome subunit		0
Mpsy_2247	Mpsy_2247	549	Query	-	528	1.70E-203	690	24.6	1	1	8.50E-208	2.00E-203	689.7427979	24.61	3	521	8	524	6	529	0.99	"thermosome, chaperonin Cpn60/TCP-1"		0
CL1_0816	CL1_0816	545	Query	-	528	1.80E-203	689.9	27.3	1	1	9.10E-208	2.20E-203	689.645752	27.3	3	524	7	529	5	532	0.99	chaperonin subunit beta		0
